model,chunk,epoch,loss,accuracy
2,1,43,0.006050917387008667,0.4826
2,1,44,0.0060572284460067745,0.4827
2,1,45,0.006064751148223877,0.4836
2,1,46,0.006073912858963013,0.4835
2,1,47,0.006080706644058228,0.4832
2,1,48,0.006081220197677612,0.483
2,1,49,0.006078036570549011,0.4842
3,1,0,0.013046039772033691,0.1729
3,1,1,0.004628926587104797,0.3579
3,1,2,0.0032634568095207214,0.4615
3,1,3,0.0037311471223831177,0.4102
3,1,4,0.0038562214136123657,0.4518
3,1,5,0.004422328925132751,0.4354
3,1,6,0.004820174336433411,0.4457
3,1,7,0.005131982398033142,0.4452
3,1,8,0.0052404266357421875,0.4567
3,1,9,0.00524766788482666,0.4675
3,1,10,0.005482845520973206,0.4541
3,1,11,0.005329916548728943,0.471
3,1,12,0.005571655201911926,0.4619
3,1,13,0.0055591271877288816,0.4618
3,1,14,0.005894158673286438,0.4587
3,1,15,0.005963052940368653,0.4456
3,1,16,0.00606359076499939,0.4508
3,1,17,0.006286728501319885,0.4447
3,1,18,0.007219303178787231,0.3952
3,1,19,0.0058349331855773925,0.4505
3,1,20,0.005781200766563415,0.4241
3,1,21,0.005839102673530578,0.4254
3,1,22,0.005842494702339172,0.4338
3,1,23,0.00527351758480072,0.4715
3,1,24,0.005294655394554138,0.4684
3,1,25,0.00545433509349823,0.4779
3,1,26,0.005482365322113037,0.484
3,1,27,0.005512314915657043,0.4879
3,1,28,0.005537487530708313,0.4984
3,1,29,0.005491284584999085,0.4967
3,1,30,0.005494047737121582,0.498
3,1,31,0.005491822409629822,0.4982
3,1,32,0.005485593414306641,0.4992
3,1,33,0.005485497760772705,0.5013
3,1,34,0.005487913274765015,0.5016
3,1,35,0.005491018390655518,0.5014
3,1,36,0.005500745820999146,0.5024
3,1,37,0.005502671337127686,0.5024
3,1,38,0.005506389594078064,0.5035
3,1,39,0.005514856386184692,0.503
3,1,40,0.005521558022499084,0.504
3,1,41,0.0055279064655303954,0.5041
3,1,42,0.005535692548751831,0.5042
3,1,43,0.005538221526145935,0.5038
3,1,44,0.00554374852180481,0.5043
3,1,45,0.005549332666397094,0.5047
3,1,46,0.005553081607818603,0.5046
3,1,47,0.005564174580574036,0.5049
3,1,48,0.005567468690872193,0.5051
3,1,49,0.0055732463598251345,0.5053
4,1,0,0.004092409610748291,0.2658
4,1,1,0.004112781691551209,0.24
4,1,2,0.003946501863002777,0.3137
4,1,3,0.004146310019493103,0.3866
4,1,4,0.004689727234840393,0.4002
4,1,5,0.005259325766563416,0.415
4,1,6,0.005439092516899109,0.4205
4,1,7,0.005348661422729492,0.4193
4,1,8,0.0062403463125228886,0.3898
4,1,9,0.005970124435424805,0.4107
4,1,10,0.006657085990905762,0.3883
4,1,11,0.006738258624076844,0.3763
4,1,12,0.006540255498886109,0.393
4,1,13,0.006529683899879455,0.4027
4,1,14,0.006493349575996399,0.4186
4,1,15,0.005975143027305603,0.4301
4,1,16,0.006227814269065857,0.4265
4,1,17,0.006139503836631775,0.4392
4,1,18,0.005991362547874451,0.4455
4,1,19,0.0067504713535308835,0.431
4,1,20,0.006252123761177063,0.4429
4,1,21,0.006203688859939575,0.4424
4,1,22,0.006035582852363586,0.4528
4,1,23,0.006107019066810608,0.4474
4,1,24,0.00618219096660614,0.4471
4,1,25,0.0060641009092330935,0.459
4,1,26,0.006069308185577393,0.4578
4,1,27,0.0060564344882965086,0.4651
4,1,28,0.006091866087913513,0.4658
4,1,29,0.00602470669746399,0.4683
4,1,30,0.006048114061355591,0.4679
4,1,31,0.006039033603668213,0.4691
4,1,32,0.0060267395973205564,0.4704
4,1,33,0.006022556447982788,0.4715
4,1,34,0.006023090744018554,0.4709
4,1,35,0.006021813535690307,0.4708
4,1,36,0.006023913431167602,0.4713
4,1,37,0.00602874276638031,0.4714
4,1,38,0.006029883861541748,0.4709
4,1,39,0.006028298234939575,0.4717
4,1,40,0.006027153491973877,0.471
4,1,41,0.006034668636322021,0.4715
4,1,42,0.006036518979072571,0.4713
4,1,43,0.0060387636184692384,0.4711
4,1,44,0.0060425123453140255,0.4716
4,1,45,0.006044747424125672,0.4719
4,1,46,0.006049772405624389,0.4717
4,1,47,0.006048258233070374,0.4723
4,1,48,0.006051114535331726,0.4725
4,1,49,0.006056417536735535,0.4728
0,2,0,0.004883602166175842,0.4083
0,2,1,0.0030918558478355406,0.4908
0,2,2,0.0029967391967773436,0.5129
0,2,3,0.0033286478996276854,0.4955
0,2,4,0.003599847936630249,0.5196
0,2,5,0.004035230827331543,0.5191
0,2,6,0.004292702889442444,0.5373
0,2,7,0.004769235897064209,0.5374
0,2,8,0.004913557076454162,0.5236
0,2,9,0.004999608898162842,0.5296
0,2,10,0.0054539993047714235,0.5112
0,2,11,0.005482674813270569,0.5079
0,2,12,0.0055331839084625245,0.4903
0,2,13,0.005730674695968628,0.4667
0,2,14,0.004946069025993347,0.5023
0,2,15,0.00496722674369812,0.507
0,2,16,0.004782104182243347,0.5279
0,2,17,0.0047089111328125,0.5353
0,2,18,0.004818419981002808,0.5341
0,2,19,0.004943635058403015,0.5533
0,2,20,0.004998150253295899,0.5465
0,2,21,0.004994610857963562,0.553
0,2,22,0.005019957828521729,0.5575
0,2,23,0.0050494132995605465,0.5588
0,2,24,0.005059382343292236,0.5589
0,2,25,0.005085559511184693,0.5594
0,2,26,0.0051008694410324094,0.5607
0,2,27,0.005121396708488464,0.56
0,2,28,0.005127729749679565,0.5606
0,2,29,0.005139165496826172,0.5602
0,2,30,0.005152514362335205,0.5606
0,2,31,0.005167713737487793,0.5608
0,2,32,0.005171104121208191,0.5605
0,2,33,0.005178223323822021,0.5608
0,2,34,0.005196119332313538,0.5609
0,2,35,0.005203841209411621,0.5596
0,2,36,0.005218151950836181,0.5599
0,2,37,0.0052180920839309695,0.5607
0,2,38,0.0052308655261993405,0.5612
0,2,39,0.005239879226684571,0.5612
0,2,40,0.00524683313369751,0.5607
0,2,41,0.005256476449966431,0.5616
0,2,42,0.005267192220687866,0.5621
0,2,43,0.005273711729049683,0.5613
0,2,44,0.005285155487060547,0.5619
0,2,45,0.005289551615715027,0.5617
0,2,46,0.005303094387054444,0.5618
0,2,47,0.005313500690460205,0.5621
0,2,48,0.005319201111793518,0.5616
0,2,49,0.005323808574676514,0.5602
1,2,0,0.0038377697229385376,0.2951
1,2,1,0.0033334866881370544,0.3888
1,2,2,0.0033119444489479065,0.4406
1,2,3,0.004226720690727234,0.4221
1,2,4,0.004152368378639222,0.4525
1,2,5,0.00521769323348999,0.4144
1,2,6,0.005055942010879517,0.4318
1,2,7,0.005181662058830261,0.4299
1,2,8,0.005006150603294373,0.4697
1,2,9,0.005274276542663574,0.4654
1,2,10,0.005469255495071411,0.4427
1,2,11,0.005376780366897583,0.4626
1,2,12,0.005971901559829712,0.4566
1,2,13,0.005819843101501465,0.4453
1,2,14,0.005686337399482727,0.463
1,2,15,0.00637439513206482,0.4372
1,2,16,0.005739583873748779,0.4753
1,2,17,0.005725475263595581,0.4801
1,2,18,0.00575649266242981,0.4777
1,2,19,0.006062603735923767,0.473
1,2,20,0.00574300582408905,0.4947
1,2,21,0.006277403283119202,0.4514
1,2,22,0.00593236391544342,0.4881
1,2,23,0.00589211847782135,0.4903
1,2,24,0.005999792242050171,0.4848
1,2,25,0.005966637825965881,0.4888
1,2,26,0.006077739834785462,0.4799
1,2,27,0.006367543411254882,0.466
1,2,28,0.006122099113464356,0.4903
1,2,29,0.006137137269973755,0.4876
1,2,30,0.006335575270652771,0.4949
1,2,31,0.006488551902770996,0.4849
1,2,32,0.006232817387580872,0.4792
1,2,33,0.006534608006477356,0.4782
1,2,34,0.006518310475349426,0.4707
1,2,35,0.0066734468698501585,0.4787
1,2,36,0.006702754926681519,0.4562
1,2,37,0.006399969983100891,0.4678
1,2,38,0.006572955179214478,0.4632
1,2,39,0.0060065891504287715,0.48
1,2,40,0.005966554427146911,0.5001
1,2,41,0.005834158945083618,0.5022
1,2,42,0.005672516369819641,0.511
1,2,43,0.005746000671386719,0.5115
1,2,44,0.005697557950019836,0.5173
1,2,45,0.005777116417884826,0.5165
1,2,46,0.005760146808624267,0.519
1,2,47,0.00569720630645752,0.5244
1,2,48,0.005761987090110779,0.5168
1,2,49,0.005743459224700927,0.524
2,2,0,0.00690025429725647,0.34
2,2,1,0.0030467832922935487,0.4864
2,2,2,0.0029258365154266356,0.5065
2,2,3,0.003044316267967224,0.5064
2,2,4,0.003535903251171112,0.4974
2,2,5,0.004056346952915192,0.5125
2,2,6,0.004425365686416626,0.5227
2,2,7,0.004852747082710266,0.5135
2,2,8,0.005439267873764038,0.4904
2,2,9,0.0053033315181732175,0.4845
2,2,10,0.005717260670661926,0.4693
2,2,11,0.005390949583053589,0.4929
2,2,12,0.005514962887763977,0.4826
2,2,13,0.005252904081344605,0.5111
2,2,14,0.004992445921897888,0.5121
2,2,15,0.005070170331001282,0.5235
2,2,16,0.005061004996299743,0.5238
2,2,17,0.005185233283042908,0.5237
2,2,18,0.005381077551841736,0.5238
2,2,19,0.005231582117080688,0.5289
2,2,20,0.005496049523353577,0.5312
2,2,21,0.00569409773349762,0.53
2,2,22,0.005477463912963867,0.529
2,2,23,0.005569660258293152,0.5281
2,2,24,0.00545528974533081,0.5341
2,2,25,0.005739728355407715,0.53
2,2,26,0.006089087533950805,0.5154
2,2,27,0.005890740251541138,0.5143
2,2,28,0.006491601252555847,0.4963
2,2,29,0.006447169804573059,0.5098
2,2,30,0.00646488573551178,0.5078
2,2,31,0.0063596985578536986,0.5052
2,2,32,0.006637392258644104,0.4678
2,2,33,0.005918005847930908,0.4855
2,2,34,0.0051552666425704954,0.509
2,2,35,0.004994071555137634,0.5222
2,2,36,0.005061167860031128,0.5193
2,2,37,0.005071821975708008,0.5304
2,2,38,0.005115658688545227,0.5355
2,2,39,0.005170564556121826,0.5394
2,2,40,0.005171995186805725,0.5458
2,2,41,0.005191076946258545,0.5492
2,2,42,0.005201454520225525,0.5514
2,2,43,0.005207961416244506,0.5507
2,2,44,0.005205371379852295,0.5513
2,2,45,0.005213453269004822,0.5522
2,2,46,0.005220983171463012,0.5522
2,2,47,0.005228359699249268,0.5525
2,2,48,0.005238946533203125,0.5521
2,2,49,0.005248422837257385,0.5523
3,2,0,0.004006418883800506,0.2445
3,2,1,0.0038067450761795044,0.3532
3,2,2,0.003366986703872681,0.4453
3,2,3,0.0038894554257392884,0.4476
3,2,4,0.004458854603767395,0.4298
3,2,5,0.004661713337898254,0.4629
3,2,6,0.005114814853668213,0.4448
3,2,7,0.005252918696403503,0.4583
3,2,8,0.005572706866264343,0.4495
3,2,9,0.0055395348787307735,0.4464
3,2,10,0.005233603096008301,0.4595
3,2,11,0.00557770299911499,0.4582
3,2,12,0.0054159836769104,0.4665
3,2,13,0.005435095858573913,0.4702
3,2,14,0.00559074387550354,0.4814
3,2,15,0.005540354251861572,0.4782
3,2,16,0.005734636950492859,0.4638
3,2,17,0.005604376792907715,0.4717
3,2,18,0.006243256974220276,0.4672
3,2,19,0.005898914003372192,0.4639
3,2,20,0.005970272064208984,0.4676
3,2,21,0.0061014803171157836,0.4792
3,2,22,0.0064032817602157595,0.4679
3,2,23,0.006394262647628784,0.4553
3,2,24,0.0059678127527236936,0.4701
3,2,25,0.006068828082084656,0.4726
3,2,26,0.005900598049163818,0.4865
3,2,27,0.006079245042800903,0.4817
3,2,28,0.006019345331192016,0.4865
3,2,29,0.005934098649024964,0.492
3,2,30,0.006163156127929687,0.4867
3,2,31,0.00609762761592865,0.4973
3,2,32,0.005973036599159241,0.5001
3,2,33,0.0058775132417678835,0.5099
3,2,34,0.0060590904712677,0.5118
3,2,35,0.005895549058914184,0.5027
3,2,36,0.006088904857635498,0.501
3,2,37,0.005888586544990539,0.5036
3,2,38,0.006193356037139892,0.5026
3,2,39,0.006324918985366822,0.5113
3,2,40,0.006207381153106689,0.5053
3,2,41,0.006431366729736328,0.4917
3,2,42,0.00659456729888916,0.4938
3,2,43,0.006669056296348572,0.4875
3,2,44,0.006631510496139526,0.4865
3,2,45,0.006704064249992371,0.4753
